Position [m]	Sabre [mm/m]	Band width [mm]
21.21	0.33	12.01
21.23	0.34	12.01
21.26	0.33	12.01
21.28	0.33	12.01
21.30	0.32	12.02
21.33	0.33	12.01
21.35	0.32	12.01
21.38	0.32	12.02
21.40	0.33	12.02
21.43	0.33	12.01
21.45	0.32	12.01
21.47	0.32	12.01
21.50	0.32	12.01
21.52	0.33	12.01
21.55	0.32	12.01
21.57	0.32	12.01
21.60	0.33	12.01
21.62	0.33	12.01
21.64	0.34	12.01
21.67	0.33	12.01
21.69	0.33	12.02
21.72	0.32	12.01
21.74	0.32	12.01
21.77	0.33	12.01
21.79	0.32	12.02
21.81	0.32	12.01
21.84	0.31	12.02
21.86	0.33	12.01
21.89	0.34	12.01
21.91	0.33	12.01
21.94	0.32	12.01
21.96	0.31	12.02
21.98	0.33	12.01
22.01	0.34	12.01
22.03	0.34	12.01
22.06	0.32	12.01
22.08	0.32	12.02
22.11	0.32	12.02
22.13	0.34	12.01
22.15	0.34	12.01
22.18	0.34	12.01
22.20	0.33	12.01
22.23	0.33	12.01
22.25	0.33	12.01
22.28	0.34	12.02
22.30	0.34	12.01
22.32	0.32	12.01
22.35	0.32	12.01
22.37	0.33	12.02
22.40	0.35	12.01
22.42	0.34	12.01
22.45	0.34	12.01
22.47	0.32	12.02
22.49	0.34	12.01
22.52	0.34	12.01
22.54	0.34	12.01
22.57	0.34	12.01
22.59	0.32	12.02
22.62	0.33	12.01
22.64	0.34	12.01
22.66	0.34	12.01
22.69	0.33	12.01
22.71	0.32	12.02
22.74	0.32	12.01
22.76	0.34	12.01
22.79	0.34	12.01
22.81	0.33	12.01
22.83	0.32	12.01
22.86	0.33	12.01
22.88	0.34	12.01
22.91	0.34	12.02
22.93	0.34	12.01
22.96	0.33	12.01
22.98	0.33	12.01
23.00	0.32	12.02
23.03	0.33	12.01
23.05	0.33	12.01
23.08	0.32	12.01
23.10	0.33	12.01
23.13	0.33	12.01
23.15	0.33	12.02
23.17	0.32	12.02
23.20	0.33	12.01
23.22	0.32	12.02
23.25	0.33	12.01
23.27	0.34	12.01
23.30	0.34	12.01
23.32	0.33	12.02
23.34	0.33	12.02
23.37	0.33	12.02
23.39	0.33	12.02
23.42	0.33	12.01
23.44	0.33	12.01
23.47	0.33	12.01
23.49	0.34	12.01
23.51	0.34	12.02
23.54	0.32	12.01
23.56	0.32	12.01
23.59	0.32	12.01
23.61	0.33	12.01
23.64	0.32	12.01
23.66	0.31	12.02
23.68	0.33	12.01
23.71	0.33	12.01
23.73	0.33	12.02
23.76	0.32	12.02
23.78	0.32	12.02
23.81	0.32	12.02
23.83	0.32	12.01
23.85	0.33	12.02
23.88	0.33	12.01
23.90	0.32	12.01
23.93	0.32	12.02
23.95	0.32	12.01
23.98	0.33	12.01
24.00	0.32	12.01
24.02	0.32	12.02
24.05	0.33	12.01
24.07	0.34	12.01
24.10	0.34	12.01
24.12	0.32	12.02
24.15	0.32	12.01
24.17	0.32	12.01
24.19	0.33	12.01
24.22	0.34	12.01
24.24	0.34	12.01
24.27	0.34	12.01
24.29	0.32	12.02
24.32	0.34	12.01
24.34	0.34	12.01
24.36	0.34	12.02
24.39	0.33	12.01
24.41	0.33	12.01
24.44	0.34	12.01
24.46	0.34	12.01
24.49	0.34	12.01
24.51	0.33	12.02
24.53	0.34	12.01
24.56	0.34	12.01
24.58	0.34	12.01
24.61	0.35	12.01
24.63	0.34	12.01
24.66	0.33	12.02
24.68	0.34	12.01
24.70	0.34	12.02
24.73	0.34	12.01
24.75	0.34	12.01
24.78	0.33	12.01
24.80	0.33	12.01
24.83	0.34	12.01
24.85	0.34	12.01
24.87	0.34	12.02
24.90	0.34	12.01
24.92	0.33	12.01
24.95	0.34	12.01
24.97	0.34	12.01
25.00	0.34	12.02
25.02	0.34	12.02
25.04	0.33	12.02
25.07	0.34	12.01
25.09	0.35	12.01
25.12	0.34	12.01
25.14	0.33	12.01
25.17	0.33	12.02
25.19	0.34	12.01
25.21	0.35	12.01
25.24	0.34	12.01
25.26	0.34	12.01
25.29	0.34	12.02
25.31	0.34	12.01
25.34	0.34	12.02
25.36	0.34	12.01
25.38	0.34	12.01
25.41	0.34	12.01
25.43	0.35	12.01
25.46	0.34	12.02
25.48	0.34	12.02
25.51	0.34	12.01
25.53	0.34	12.01
25.55	0.34	12.01
25.58	0.34	12.01
25.60	0.34	12.01
25.63	0.34	12.01
25.65	0.34	12.01
25.68	0.34	12.01
25.70	0.34	12.01
25.72	0.34	12.01
25.75	0.34	12.01
25.77	0.34	12.02
25.80	0.34	12.02
25.82	0.34	12.01
25.85	0.34	12.01
25.87	0.34	12.01
25.89	0.34	12.01
25.92	0.34	12.01
25.94	0.34	12.01
25.97	0.35	12.01
25.99	0.34	12.01
26.02	0.34	12.01
26.04	0.35	12.01
