Position [m]	Intensity	Int_Area	Int_Edge1	Int_Edge2	Position Sensor [m]	Temperature Sensor 1 [°C]	Temperature Sensor 2 [°C]
-18.86	83.00	0.00	38.65	53.76	173.00	43.29	42.19
-18.86	79.00	0.00	36.62	53.04	173.35	43.28	42.19
-18.79	75.00	0.00	35.51	47.35	173.70	43.28	42.19
-18.79	73.00	0.00	36.87	46.06	174.05	43.28	42.18
-18.72	67.00	0.00	33.42	46.31	174.39	43.28	42.18
-18.72	62.00	0.00	29.73	42.90	174.74	43.27	42.18
-18.66	62.00	9.00	31.23	40.93	175.09	43.27	42.17
-18.66	59.00	5.00	29.81	39.55	175.43	43.27	42.17
-18.59	55.00	6.00	25.56	36.51	175.78	43.27	42.17
-18.59	55.00	4.00	24.97	35.07	176.13	43.27	42.17
-18.52	55.00	0.00	26.13	37.21	176.47	43.27	42.17
-18.52	54.00	2.00	24.24	34.15	176.82	43.26	42.17
-18.45	51.00	0.00	23.07	34.74	177.17	43.26	42.16
-18.45	51.00	0.00	23.32	33.63	177.51	43.26	42.16
-18.38	49.00	13.00	23.22	35.80	177.86	43.26	42.16
-18.38	47.00	6.00	22.50	33.04	178.21	43.26	42.16
-18.31	45.00	0.00	20.69	32.12	178.56	43.26	42.16
-18.31	43.00	0.00	20.98	29.75	178.90	43.25	42.15
-18.24	41.00	4.00	20.20	29.94	179.25	43.25	42.15
-18.24	40.00	0.00	19.17	30.28	179.60	43.32	42.22
-18.18	39.00	0.00	19.06	25.96	179.94	43.31	42.22
-18.18	37.00	3.00	20.28	26.94	180.29	43.32	42.22
-18.11	36.00	0.00	18.34	25.80	180.64	43.31	42.22
-18.11	34.00	0.00	16.94	25.81	180.98	43.31	42.21
-18.04	32.00	0.00	17.43	22.54	181.33	43.31	42.21
-18.04	31.00	0.00	18.67	22.55	181.68	43.30	42.21
-17.97	30.00	0.00	16.26	23.51	182.03	43.30	42.21
-17.97	29.00	0.00	16.44	21.92	182.37	43.31	42.21
-17.90	28.00	0.00	16.52	21.94	182.72	43.30	42.20
-17.90	28.00	0.00	15.97	20.57	183.07	43.30	42.20
-17.83	27.00	2.00	14.54	22.18	183.41	43.29	42.20
-17.83	26.00	10.00	15.74	20.15	183.76	43.30	42.20
-17.76	26.00	0.00	16.02	22.19	184.11	43.30	42.20
-17.76	25.00	0.00	14.36	20.25	184.46	43.30	42.20
-17.70	24.00	0.00	15.05	21.73	184.80	43.30	42.20
-17.70	23.00	0.00	14.89	20.40	185.15	43.29	42.20
-17.63	23.00	0.00	14.92	19.37	185.50	43.29	42.20
-17.63	22.00	0.00	12.77	18.64	185.84	43.36	42.26
-17.56	21.00	0.00	13.48	16.99	186.19	43.35	42.26
-17.56	21.00	0.00	14.42	18.57	186.54	43.35	42.25
-17.49	20.00	0.00	13.28	18.52	186.88	43.35	42.26
-17.49	20.00	0.00	12.27	19.65	187.23	43.35	42.25
-17.42	19.00	0.00	13.34	16.85	187.58	43.35	42.25
-17.42	18.00	4.00	14.24	16.16	187.93	43.35	42.25
-17.35	18.00	0.00	12.61	16.39	188.27	43.34	42.25
-17.35	17.00	0.00	12.82	16.44	188.62	43.34	42.25
-17.28	17.00	0.00	13.62	16.96	188.97	43.34	42.24
-17.28	16.00	0.00	12.53	16.98	189.31	43.34	42.25
-17.22	16.00	4.00	11.62	16.38	189.66	43.34	42.24
-17.22	15.00	0.00	12.45	15.23	190.01	43.34	42.24
-17.15	15.00	3.00	12.64	15.73	190.35	43.34	42.24
-17.15	15.00	0.00	11.45	14.94	190.70	43.34	42.24
-17.08	15.00	0.00	10.78	15.68	191.05	43.33	42.25
-17.08	14.00	1.00	12.49	16.56	191.39	43.33	42.24
-17.01	14.00	0.00	12.56	16.06	191.74	43.33	42.24
-17.01	14.00	0.00	11.90	15.70	192.09	43.33	42.30
-16.94	14.00	134.00	13.57	17.08	192.44	43.33	42.24
-16.94	13.00	0.00	12.38	14.94	192.78	43.39	42.30
-16.87	13.00	7.00	11.59	15.34	193.13	43.39	42.30
-16.87					193.48	43.39	42.30
-16.80	12.00	0.00	11.94	14.58	193.82	43.38	42.30
-16.80	12.00	0.00	12.27	15.29	194.17	43.39	42.29
-16.74	12.00	0.00	11.93	14.55	194.52	43.38	42.29
-16.74	12.00	0.00	10.10	13.60	194.86	43.38	42.29
-16.67	12.00	3.00	12.28	13.72	195.21	43.38	42.29
-16.67	11.00	0.00	10.80	14.45	195.56	43.38	42.29
-16.60	12.00	0.00	10.06	14.59	195.91	43.38	42.29
-16.60	11.00	0.00	10.60	12.76	196.25	43.38	42.28
-16.53	11.00	0.00	11.75	15.03	196.60	43.37	42.28
-16.53	11.00	0.00	11.17	13.38	196.95	43.37	42.28
-16.46	11.00	0.00	10.23	14.83	197.29	43.38	42.29
-16.46	11.00	0.00	11.57	13.74	197.64	43.37	42.28
-16.39	10.00	0.00	11.61	14.47	197.99	43.37	42.28
-16.39	10.00	0.00	10.72	13.23	198.33	43.36	42.28
-16.32	10.00	0.00	10.04	13.08	198.68	43.42	42.28
-16.32	10.00	1.00	11.44	13.63	199.03	43.43	42.34
-16.25	10.00	0.00	9.93	12.11	199.38	43.42	42.34
-16.25	10.00	0.00	9.24	13.11	199.72	43.42	42.34
-16.19	10.00	0.00	10.95	12.19	200.07	43.42	42.33
-16.19	9.00	0.00	11.11	13.13	200.42	43.42	42.33
-16.12	9.00	0.00	9.93	13.55	200.76	43.42	42.33
-16.12	9.00	0.00	9.64	13.01	201.11	43.42	42.33
-16.05	9.00	0.00	11.49	11.93	201.46	43.42	42.33
-16.05	9.00	0.00	10.64	12.67	201.80	43.42	42.33
-15.98	9.00	11.00	9.47	13.62	202.15	43.41	42.33
-15.98	9.00	3.00	10.42	10.75	202.50	43.41	42.33
